up_mid,up_name,video_count,total_view,total_like,total_coin,total_interaction,avg_view,avg_like_rate,top10_count
33159593,努力の巳宝宝,1,2138562,217793,156693,512609,2138562.0,0.1018,0
1206156500,老郭美食,1,2135350,248470,192560,503816,2135350.0,0.1164,1
359387188,丁不歪_,1,2134631,157692,13267,202696,2134631.0,0.0739,0
1369887472,金如意同学,1,2134027,112317,11275,139287,2134027.0,0.0526,0
347880639,大民Ge,1,2131513,163162,20411,219071,2131513.0,0.0765,0
87444245,小测佬风少,1,2131282,143334,70780,394532,2131282.0,0.0673,0
306379920,李木瓜,1,2128345,191385,117398,374170,2128345.0,0.0899,0
105579660,超绝鸽子精,1,2126732,287469,38576,438194,2126732.0,0.1352,0
3494360861640999,97张院长,1,2126114,116959,2032,129003,2126114.0,0.055,0
599404508,鸽王阿暑,1,2125345,128872,23081,247510,2125345.0,0.0606,0
31880257,差评硬件部,1,2123315,75786,7783,131699,2123315.0,0.0357,0
87333776,阿星星星河,1,2122113,163080,125422,458226,2122113.0,0.0768,0
396727464,四宫-研lzc,1,2119835,213660,222678,526904,2119835.0,0.1008,0
10769250,焦大仙啊,1,2119225,170748,114348,356242,2119225.0,0.0806,0
44170362,卷er,1,2117422,249386,25604,374654,2117422.0,0.1178,0
3546961015737149,阿扎阿特,1,2115607,66203,8933,148603,2115607.0,0.0313,0
99336697,树根龙门阵,1,2115560,201813,194404,495022,2115560.0,0.0954,0
1647391676,梅姐爱画画,1,2114853,217633,40821,287728,2114853.0,0.1029,0
37870958,北绊半球,1,2112875,152370,97634,335489,2112875.0,0.0721,0
1206353208,小咔想睡觉,1,2110407,154650,5400,190335,2110407.0,0.0733,0
1112568165,汤山老王,1,2108478,75677,31733,163739,2108478.0,0.0359,0
22213567,鲲鹏万里616,1,2107211,54031,13790,140410,2107211.0,0.0256,1
35811260,墨宸w,1,2106623,317245,49101,476054,2106623.0,0.1506,0
439112604,异瞳乱麻,1,2105280,149878,18568,235658,2105280.0,0.0712,0
319152057,周彤T-shirt,1,2104515,278225,47565,413818,2104515.0,0.1322,1
1473247194,Mandell博士,1,2103591,73798,37389,244309,2103591.0,0.0351,0
43584648,工科男孙老师,1,2098820,65332,25005,117797,2098820.0,0.0311,0
580312164,化妆小天才肖遥,1,2096261,205988,1288,219887,2096261.0,0.0983,0
690100803,中国移动动感地带,1,2095314,137037,105018,339508,2095314.0,0.0654,1
3632312524737031,UnleashTheAvatar,1,2094201,59876,6703,139383,2094201.0,0.0286,0
64137054,解说七老爷,1,2093262,101756,9276,129086,2093262.0,0.0486,0
11685197,不死な千咲,1,2090475,200465,170308,487741,2090475.0,0.0959,1
3493112185882854,阿一动漫,1,2088890,92398,598,100152,2088890.0,0.0442,0
43695117,答案4nswer,1,2088170,88961,53434,164395,2088170.0,0.0426,0
122399,老J爱游戏,1,2083733,174581,80203,331366,2083733.0,0.0838,0
386364189,若灵心理,1,2083232,127276,79140,369957,2083232.0,0.0611,1
27782673,我是阿彪叻,1,2080900,318098,7501,372558,2080900.0,0.1529,0
320070259,虚环,1,2079627,50915,6694,114215,2079627.0,0.0245,0
443251522,胡彦斌TigerHu,1,2078336,62456,12977,95596,2078336.0,0.0301,0
1087605486,Strictlyviolin荀博,1,2075311,380893,24426,490966,2075311.0,0.1835,0
420689937,盼盼罚吃小面包,1,2070897,166609,109492,321637,2070897.0,0.0805,1
1753715431,狗子快乐屋,1,2070473,90181,7978,136869,2070473.0,0.0436,0
2034122930,我是梅小贱,1,2069273,177060,56368,321642,2069273.0,0.0856,0
2139961917,仙剑世界,1,2065820,24046,3689,42572,2065820.0,0.0116,0
85846467,懂车老王,1,2064541,52015,3555,90494,2064541.0,0.0252,0
11336264,TESTV官方频道,1,2062783,125043,113107,289305,2062783.0,0.0606,0
176414546,巡天者叶梓颐,1,2060444,258170,106085,390422,2060444.0,0.1253,0
